image_id,path,class_folder,display_name,label,source,partition
UnripeApple_146,data/primary/UnripeApple/UnripeApple (146).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_155,data/primary/UnripeApple/UnripeApple (155).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_181,data/primary/UnripeApple/UnripeApple (181).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_22,data/primary/UnripeApple/UnripeApple (22).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_381,data/primary/UnripeApple/UnripeApple (381).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_383,data/primary/UnripeApple/UnripeApple (383).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_440,data/primary/UnripeApple/UnripeApple (440).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_460,data/primary/UnripeApple/UnripeApple (460).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_465,data/primary/UnripeApple/UnripeApple (465).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_526,data/primary/UnripeApple/UnripeApple (526).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_557,data/primary/UnripeApple/UnripeApple (557).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_598,data/primary/UnripeApple/UnripeApple (598).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_60,data/primary/UnripeApple/UnripeApple (60).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_603,data/primary/UnripeApple/UnripeApple (603).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_608,data/primary/UnripeApple/UnripeApple (608).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_632,data/primary/UnripeApple/UnripeApple (632).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_652,data/primary/UnripeApple/UnripeApple (652).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_697,data/primary/UnripeApple/UnripeApple (697).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_733,data/primary/UnripeApple/UnripeApple (733).jpg,UnripeApple,Unripe,0,primary,test
UnripeApple_744,data/primary/UnripeApple/UnripeApple (744).jpg,UnripeApple,Unripe,0,primary,test
RipeApple_105,data/primary/RipeApple/RipeApple (105).jpg,RipeApple,Ripe,1,primary,test
RipeApple_120,data/primary/RipeApple/RipeApple (120).jpg,RipeApple,Ripe,1,primary,test
RipeApple_166,data/primary/RipeApple/RipeApple (166).jpg,RipeApple,Ripe,1,primary,test
RipeApple_169,data/primary/RipeApple/RipeApple (169).jpg,RipeApple,Ripe,1,primary,test
RipeApple_197,data/primary/RipeApple/RipeApple (197).jpg,RipeApple,Ripe,1,primary,test
RipeApple_306,data/primary/RipeApple/RipeApple (306).jpg,RipeApple,Ripe,1,primary,test
RipeApple_326,data/primary/RipeApple/RipeApple (326).jpg,RipeApple,Ripe,1,primary,test
RipeApple_369,data/primary/RipeApple/RipeApple (369).jpg,RipeApple,Ripe,1,primary,test
RipeApple_401,data/primary/RipeApple/RipeApple (401).jpg,RipeApple,Ripe,1,primary,test
RipeApple_430,data/primary/RipeApple/RipeApple (430).jpg,RipeApple,Ripe,1,primary,test
RipeApple_490,data/primary/RipeApple/RipeApple (490).jpg,RipeApple,Ripe,1,primary,test
RipeApple_498,data/primary/RipeApple/RipeApple (498).jpg,RipeApple,Ripe,1,primary,test
RipeApple_559,data/primary/RipeApple/RipeApple (559).jpg,RipeApple,Ripe,1,primary,test
RipeApple_560,data/primary/RipeApple/RipeApple (560).jpg,RipeApple,Ripe,1,primary,test
RipeApple_58,data/primary/RipeApple/RipeApple (58).jpg,RipeApple,Ripe,1,primary,test
RipeApple_601,data/primary/RipeApple/RipeApple (601).jpg,RipeApple,Ripe,1,primary,test
RipeApple_615,data/primary/RipeApple/RipeApple (615).jpg,RipeApple,Ripe,1,primary,test
RipeApple_620,data/primary/RipeApple/RipeApple (620).jpg,RipeApple,Ripe,1,primary,test
RipeApple_695,data/primary/RipeApple/RipeApple (695).jpg,RipeApple,Ripe,1,primary,test
RipeApple_729,data/primary/RipeApple/RipeApple (729).jpg,RipeApple,Ripe,1,primary,test
RottenApple_156,data/primary/RottenApple/RottenApple (156).jpg,RottenApple,Rotten,2,primary,test
