class,name,coverage,polarity,failed,border_std
20%,citra1.jpg,0.6014030612244898,dark,False,45.34698446312469
20%,citra10.jpg,0.45473931760204084,dark,False,32.464414131889
20%,citra100.jpg,0.5735610650510204,dark,False,21.609904329186254
20%,citra11.jpg,0.4591039540816326,dark,False,32.399119667477784
20%,citra12.jpg,0.46787308673469385,dark,False,32.33855856024979
20%,citra13.jpg,0.5743383290816326,dark,False,21.59484506097395
20%,citra14.jpg,0.5742785395408163,dark,False,21.506412857796377
20%,citra15.jpg,0.5747967155612245,dark,False,21.456380766638336
20%,citra16.jpg,0.47048389668367346,dark,False,33.01172349309041
20%,citra17.jpg,0.4557955994897959,dark,False,32.85123795466443
20%,citra18.jpg,0.44473453443877553,dark,False,32.687269030290395
20%,citra19.jpg,0.45107222576530615,dark,False,32.59132162484831
20%,citra2.jpg,0.6014030612244898,dark,False,45.20664409181149
20%,citra20.jpg,0.4292490433673469,dark,False,37.60339367389341
20%,citra21.png,0.31742267219387754,bright,False,45.48913192673124
20%,citra22.jpg,0.48204320790816324,dark,False,48.335947427550856
20%,citra23.jpg,0.4850326849489796,dark,False,48.31906494319037
20%,citra24.jpg,0.48694595025510207,dark,False,48.3093880383864
20%,citra25.png,0.31174266581632654,bright,False,45.48913192673129
20%,citra26.png,0.31180245535714285,bright,False,45.490365173547254
20%,citra27.png,0.3136360012755102,bright,False,45.48913192673152
20%,citra28.png,0.316226881377551,bright,False,45.490365173548646
20%,citra29.jpg,0.41001674107142855,dark,False,34.74659124504686
20%,citra3.jpg,0.6016023596938775,dark,False,45.1478758367221
20%,citra30.jpg,0.4127869897959184,dark,False,34.689898501367004
20%,citra31.jpg,0.4129663584183674,dark,False,34.66525776134905
20%,citra32.jpg,0.4152782206632653,dark,False,34.63442497406935
20%,citra33.jpg,0.4171117665816326,dark,False,34.62162471667785
20%,citra34.jpg,0.4203404017857143,dark,False,34.58345100215441
20%,citra35.jpg,0.4146006058673469,dark,False,34.50664447162209
20%,citra36.jpg,0.41751036352040816,dark,False,34.46365489069637
20%,citra37.jpg,0.46482382015306123,dark,False,48.644926127345066
20%,citra38.jpg,0.48012994260204084,dark,False,48.553533966431324
20%,citra39.jpg,0.48497289540816324,dark,False,48.453783514652166
20%,citra4.jpg,0.6016422193877551,dark,False,45.080960271841526
20%,citra40.jpg,0.48571029974489793,dark,False,48.39933607285048
20%,citra41.jpg,0.40401785714285715,dark,False,33.647386647875656
20%,citra42.jpg,0.41075414540816324,dark,False,33.56659809928116
20%,citra43.jpg,0.4072863520408163,dark,False,33.52842924660853
20%,citra44.jpg,0.4114516900510204,dark,False,33.45048873080676
20%,citra45.jpg,0.4071667729591837,dark,False,33.46597304867444
20%,citra46.jpg,0.4112523915816326,dark,False,33.47982808711733
20%,citra47.jpg,0.40465561224489793,dark,False,33.4423159940607
20%,citra48.jpg,0.40724649234693877,dark,False,33.400721781501126
20%,citra49.jpg,0.5509606186224489,dark,False,39.335247547882105
20%,citra5.jpg,0.6013632015306123,dark,False,45.07365401554998
20%,citra50.jpg,0.5514389349489796,dark,False,39.27001354615083
20%,citra51.jpg,0.5516382334183674,dark,False,39.201551976637425
20%,citra52.jpg,0.550163424744898,dark,False,39.18602885588867
20%,citra53.jpg,0.5509008290816326,dark,False,39.188439731417674
20%,citra54.jpg,0.5503427933673469,dark,False,39.157884206329165
20%,citra55.jpg,0.5503029336734694,dark,False,39.143502938865716
20%,citra56.jpg,0.5511001275510204,dark,False,39.12494408330219
20%,citra57.jpg,0.5505022321428571,dark,False,39.130135756809416
20%,citra58.jpg,0.43026546556122447,dark,False,24.5784046102775
20%,citra59.jpg,0.4315609056122449,dark,False,24.51378190617301
20%,citra6.jpg,0.6016820790816326,dark,False,45.0540475949117
20%,citra60.jpg,0.43191964285714285,dark,False,24.48942901069817
20%,citra61.jpg,0.4307836415816326,dark,False,24.43339370988639
20%,citra62.jpg,0.4306640625,dark,False,24.406988937302582
20%,citra63.jpg,0.4307437818877551,dark,False,24.401337244035204
20%,citra64.jpg,0.43106265943877553,dark,False,24.347744514997007
20%,citra65.jpg,0.5066167091836735,dark,False,28.438873445252852
20%,citra66.jpg,0.5064971301020408,dark,False,28.352964973468815
20%,citra67.jpg,0.5064373405612245,dark,False,28.352445842153305
20%,citra68.jpg,0.5059988839285714,dark,False,28.32649993832327
20%,citra69.jpg,0.5067562181122449,dark,False,28.40503422969765
20%,citra7.jpg,0.4641860650510204,dark,False,48.69267365159171
20%,citra70.jpg,0.5054009885204082,dark,False,28.404298078346716
20%,citra71.jpg,0.5060985331632653,dark,False,28.379820620501707
20%,citra72.jpg,0.5054408482142857,dark,False,28.40728517226832
20%,citra73.jpg,0.4939811862244898,dark,False,37.35492480635707
20%,citra74.jpg,0.4943997130102041,dark,False,37.39250603925332
20%,citra75.jpg,0.49412069515306123,dark,False,37.4622433847177
20%,citra76.jpg,0.49433992346938777,dark,False,37.43214623301431
20%,citra77.jpg,0.4956154336734694,dark,False,37.44187838243494
20%,citra78.jpg,0.4935825892857143,dark,False,37.44646679674627
20%,citra79.jpg,0.49465880102040816,dark,False,37.49549804311007
20%,citra8.jpg,0.6016621492346939,dark,False,44.91819790533134
20%,citra80.jpg,0.4934829400510204,dark,False,37.46062893610789
20%,citra81.jpg,0.4440967793367347,dark,False,47.87118208791691
20%,citra82.jpg,0.4430604272959184,dark,False,47.80885268611951
20%,citra83.jpg,0.44314014668367346,dark,False,47.79089658220372
20%,citra84.jpg,0.4444953762755102,dark,False,47.75325113390363
20%,citra85.jpg,0.44569116709183676,dark,False,47.74948827884187
20%,citra86.jpg,0.44298070790816324,dark,False,47.74840192609014
20%,citra87.jpg,0.4439174107142857,dark,False,47.70346696080205
20%,citra88.jpg,0.4452327806122449,dark,False,47.671594010682234
20%,citra89.jpg,0.6916852678571429,dark,False,60.572990863520054
20%,citra9.jpg,0.45290577168367346,dark,False,32.56952233308969
20%,citra90.jpg,0.6919642857142857,dark,False,60.47477925803068
20%,citra91.jpg,0.6923230229591837,dark,False,60.38975931750969
20%,citra92.jpg,0.6917849170918368,dark,False,60.317361509983776
20%,citra93.jpg,0.6929209183673469,dark,False,60.25137425822502
20%,citra94.jpg,0.6923030931122449,dark,False,60.18444526773002
20%,citra95.jpg,0.6926219706632653,dark,False,60.11606700469418
20%,citra96.jpg,0.5744778380102041,dark,False,21.70847993329636
20%,citra97.jpg,0.5736407844387755,dark,False,21.648467850436244
20%,citra98.jpg,0.5742785395408163,dark,False,21.684402621535998
20%,citra99.jpg,0.5735411352040817,dark,False,21.64443666783541
40%,citra1.jpg,0.6732302295918368,dark,False,32.79541504310914
40%,citra10.jpg,0.5455197704081632,dark,False,25.916296020888485
40%,citra100.jpg,0.6847895408163265,dark,False,34.196007609888554
40%,citra11.jpg,0.5445432079081632,dark,False,25.85043438604977
40%,citra12.jpg,0.5461176658163265,dark,False,25.769637404202058
40%,citra13.jpg,0.5477319834183674,dark,False,25.75869135832565
40%,citra14.jpg,0.5433872767857143,dark,False,25.70977143131159
40%,citra15.jpg,0.5443239795918368,dark,False,25.62831765696998
40%,citra16.jpg,0.5478914221938775,dark,False,25.580084241302046
40%,citra17.jpg,0.6725924744897959,dark,False,32.716445271806386
40%,citra18.jpg,0.6731903698979592,dark,False,32.63582468398969
40%,citra19.jpg,0.6843510841836735,dark,False,34.65830852266776
40%,citra2.jpg,0.6725924744897959,dark,False,32.716445271806386
40%,citra20.jpg,0.6844507334183674,dark,False,34.542013276590744
40%,citra21.jpg,0.6839325573979592,dark,False,34.419086594603336
40%,citra22.jpg,0.6839724170918368,dark,False,34.3640619640874
40%,citra23.jpg,0.6845304528061225,dark,False,34.2792553512378
40%,citra24.jpg,0.6847895408163265,dark,False,34.196007609888554
40%,citra25.jpg,0.6837930484693877,dark,False,34.158237482141324
40%,citra26.jpg,0.6838727678571429,dark,False,34.19003557013041
40%,citra27.jpg,0.6838129783163265,dark,False,34.15806964088842
40%,citra28.jpg,0.45151068239795916,dark,False,7.261383390246146
40%,citra29.jpg,0.4424625318877551,dark,False,7.225465108307579
40%,citra3.jpg,0.6731903698979592,dark,False,32.63582468398969
40%,citra30.jpg,0.4099170918367347,dark,False,7.159616095176702
40%,citra31.jpg,0.4458506058673469,dark,False,7.1438247202624785
40%,citra32.jpg,0.45029496173469385,dark,False,7.15813687774263
40%,citra33.jpg,0.44411670918367346,dark,False,7.144438287299844
40%,citra34.jpg,0.4452327806122449,dark,False,7.0966254808411575
40%,citra35.jpg,0.4561742665816326,dark,False,7.095515436757328
40%,citra36.jpg,0.5007971938775511,dark,False,47.12697656616194
40%,citra37.jpg,0.5036471619897959,dark,False,47.01059514807051
40%,citra38.jpg,0.4967713647959184,dark,False,46.90895695259375
40%,citra39.jpg,0.5334622130102041,dark,False,46.83237802356033
40%,citra4.jpg,0.6746253188775511,dark,False,32.562848457362314
40%,citra40.jpg,0.532585299744898,dark,False,46.78005910283276
40%,citra41.jpg,0.4986049107142857,dark,False,46.728378571500194
40%,citra42.jpg,0.495914381377551,dark,False,46.6670410513822
40%,citra43.jpg,0.5033482142857143,dark,False,46.61006720534749
40%,citra44.jpg,0.5797393176020408,dark,False,55.43572949401161
40%,citra45.jpg,0.5719666772959183,dark,False,55.256001475963586
40%,citra46.jpg,0.5704121492346939,dark,False,55.113250648566755
40%,citra47.jpg,0.5782844387755102,dark,False,55.00383609433857
40%,citra48.jpg,0.5712292729591837,dark,False,54.929998570200034
40%,citra49.jpg,0.5728037308673469,dark,False,54.83786181457663
40%,citra5.jpg,0.6733697385204082,dark,False,32.533167869713715
40%,citra50.jpg,0.5654894770408163,dark,False,54.78429972017043
40%,citra51.jpg,0.5700733418367347,dark,False,54.738101717411915
40%,citra52.jpg,0.45200892857142855,dark,False,45.449256058997015
40%,citra53.jpg,0.4479233099489796,dark,False,45.34980441120067
40%,citra54.jpg,0.4473453443877551,dark,False,45.27602892930718
40%,citra55.jpg,0.45224808673469385,dark,False,45.22221487562939
40%,citra56.jpg,0.4512914540816326,dark,False,45.19056183221855
40%,citra57.jpg,0.4483019770408163,dark,False,45.1598569680314
40%,citra58.jpg,0.4507533482142857,dark,False,45.1212664844195
40%,citra59.jpg,0.44804288903061223,dark,False,45.08093651678386
40%,citra6.jpg,0.6746651785714286,dark,False,32.48036655088287
40%,citra60.jpg,0.6965481505102041,dark,False,46.578269301618604
40%,citra61.jpg,0.6966278698979592,dark,False,46.44228621408001
40%,citra62.jpg,0.6967275191326531,dark,False,46.3234260755132
40%,citra63.jpg,0.6970862563775511,dark,False,46.239497587161374
40%,citra64.jpg,0.6967275191326531,dark,False,46.17774961017407
40%,citra65.jpg,0.6969268176020408,dark,False,46.15186910167778
40%,citra66.jpg,0.6963089923469388,dark,False,46.11892917923947
40%,citra67.jpg,0.6968271683673469,dark,False,46.073612821451796
40%,citra68.jpg,0.31116470025510207,dark,False,12.139627062428163
40%,citra69.jpg,0.3009008290816326,dark,False,12.1154518709484
40%,citra7.jpg,0.6746053890306123,dark,False,32.41438029711869
40%,citra70.jpg,0.3059829400510204,dark,False,12.093052267439319
40%,citra71.jpg,0.308414381377551,dark,False,12.064303141841172
40%,citra72.jpg,0.3081752232142857,dark,False,12.041574709110238
40%,citra73.jpg,0.3103874362244898,dark,False,12.039528157380216
40%,citra74.jpg,0.308414381377551,dark,False,12.037232473233844
40%,citra75.jpg,0.30430883290816324,dark,False,12.01995187913829
40%,citra76.jpg,0.29390545280612246,dark,False,12.009413238776384
40%,citra77.jpg,0.5761120854591837,dark,False,5.424907839611154
40%,citra78.jpg,0.5761918048469388,dark,False,5.467741267532144
40%,citra79.jpg,0.5766103316326531,dark,False,5.563722237683078
40%,citra8.jpg,0.6750039859693877,dark,False,32.34491823891138
40%,citra80.jpg,0.5776466836734694,dark,False,5.622168094493013
40%,citra81.jpg,0.5768494897959183,dark,False,5.642754211946517
40%,citra82.jpg,0.5770687181122449,dark,False,5.684308401446301
40%,citra83.jpg,0.5777264030612245,dark,False,5.674646294664284
40%,citra84.jpg,0.5773875956632653,dark,False,5.686990205741356
