distance,colour_rmse,class_a,class_b,cross_class,file_a,file_b
0,0.0,Unripe,Unripe,False,UnripeApple (353).jpg,UnripeApple (356).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (354).jpg,UnripeApple (355).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (369).jpg,UnripeApple (372).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (370).jpg,UnripeApple (371).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (441).jpg,UnripeApple (444).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (442).jpg,UnripeApple (443).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (561).jpg,UnripeApple (564).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (562).jpg,UnripeApple (563).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (599).jpg,UnripeApple (602).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (600).jpg,UnripeApple (601).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (603).jpg,UnripeApple (606).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (604).jpg,UnripeApple (605).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (633).jpg,UnripeApple (636).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (634).jpg,UnripeApple (635).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (703).jpg,UnripeApple (706).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (704).jpg,UnripeApple (705).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (709).jpg,UnripeApple (712).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (710).jpg,UnripeApple (711).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (713).jpg,UnripeApple (716).jpg
0,0.0,Unripe,Unripe,False,UnripeApple (714).jpg,UnripeApple (715).jpg
0,0.37629983058725924,Ripe,Ripe,False,RipeApple (544).jpg,RipeApple (552).jpg
0,0.3869619921043065,Ripe,Ripe,False,RipeApple (543).jpg,RipeApple (551).jpg
0,0.426193178030808,Rotten,Rotten,False,RottenApple (599).jpg,RottenApple (665).jpg
0,0.4550068680800324,Rotten,Rotten,False,RottenApple (600).jpg,RottenApple (666).jpg
0,0.6281172263200556,Unripe,Unripe,False,UnripeApple (84).jpg,UnripeApple (94).jpg
0,0.6307031459675251,Unripe,Unripe,False,UnripeApple (83).jpg,UnripeApple (93).jpg
0,0.6312190586476298,Unripe,Unripe,False,UnripeApple (80).jpg,UnripeApple (92).jpg
0,0.658725489740099,Unripe,Unripe,False,UnripeApple (79).jpg,UnripeApple (91).jpg
0,0.6738705829014945,Unripe,Unripe,False,UnripeApple (82).jpg,UnripeApple (98).jpg
0,0.6834635292635104,Unripe,Unripe,False,UnripeApple (81).jpg,UnripeApple (97).jpg
0,0.7114667215220494,Unripe,Unripe,False,UnripeApple (32).jpg,UnripeApple (74).jpg
0,0.7203334008175196,Unripe,Unripe,False,UnripeApple (31).jpg,UnripeApple (73).jpg
0,0.7315437444199766,Unripe,Unripe,False,UnripeApple (85).jpg,UnripeApple (95).jpg
0,0.7410490171596839,Unripe,Unripe,False,UnripeApple (86).jpg,UnripeApple (96).jpg
0,3.20582965080804,Rotten,Rotten,False,RottenApple (197).jpg,RottenApple (405).jpg
0,3.2168279050694233,Rotten,Rotten,False,RottenApple (198).jpg,RottenApple (406).jpg
0,3.339268804069737,Ripe,Ripe,False,RipeApple (18).jpg,RipeApple (420).jpg
0,6.164493212138367,Rotten,Rotten,False,RottenApple (347).jpg,RottenApple (579).jpg
0,6.217990950325783,Ripe,Ripe,False,RipeApple (19).jpg,RipeApple (417).jpg
0,6.33602259242079,Ripe,Ripe,False,RipeApple (20).jpg,RipeApple (418).jpg
1,3.2807539307553477,Ripe,Ripe,False,RipeApple (17).jpg,RipeApple (419).jpg
1,6.249817705674835,Rotten,Rotten,False,RottenApple (348).jpg,RottenApple (580).jpg
1,7.985603093745227,Rotten,Rotten,False,RottenApple (199).jpg,RottenApple (665).jpg
1,7.989759885054953,Rotten,Rotten,False,RottenApple (199).jpg,RottenApple (599).jpg
3,7.9948306866583065,Rotten,Rotten,False,RottenApple (73).jpg,RottenApple (75).jpg
