path,class_folder,source,variant,coverage,reason,substituted
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (109).jpg,UnripeApple,primary,0,0.09042171556122448,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (109).jpg,UnripeApple,primary,1,0.0888671875,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (136).jpg,UnripeApple,primary,1,0.07399952168367346,"GrabCut grew to only 1.19x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (136).jpg,UnripeApple,primary,2,0.07786591198979592,"GrabCut grew to only 1.25x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (201).jpg,UnripeApple,primary,3,0.07884247448979592,"GrabCut grew to only 1.27x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (202).jpg,UnripeApple,primary,0,0.0799984056122449,"GrabCut grew to only 1.28x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (203).jpg,UnripeApple,primary,0,0.09165736607142858,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (203).jpg,UnripeApple,primary,1,0.09165736607142858,"GrabCut grew to only 1.47x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (203).jpg,UnripeApple,primary,3,0.09056122448979592,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (204).jpg,UnripeApple,primary,0,0.08998325892857142,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (204).jpg,UnripeApple,primary,3,0.08984375,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (207).jpg,UnripeApple,primary,0,0.0862563775510204,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (207).jpg,UnripeApple,primary,1,0.08312739158163265,"GrabCut grew to only 1.33x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (210).jpg,UnripeApple,primary,1,0.0908203125,"GrabCut grew to only 1.46x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (212).jpg,UnripeApple,primary,2,0.08474170918367346,"GrabCut grew to only 1.36x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (224).jpg,UnripeApple,primary,0,0.08637595663265306,"GrabCut grew to only 1.39x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (224).jpg,UnripeApple,primary,1,0.09307238520408163,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (224).jpg,UnripeApple,primary,3,0.08836894132653061,"GrabCut grew to only 1.42x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (227).jpg,UnripeApple,primary,2,0.08986367984693877,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (229).jpg,UnripeApple,primary,3,0.0918765943877551,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (241).jpg,UnripeApple,primary,0,0.06798070790816327,"GrabCut grew to only 1.09x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
N:\Degree\IP\Assignment\ImageProcessing\data\primary\UnripeApple\UnripeApple (241).jpg,UnripeApple,primary,1,0.07116948341836735,"GrabCut grew to only 1.14x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
