configuration,kind,source,class,precision,recall,f1,support,accuracy,macro_f1
T1,individual,test,Unripe,0.9735099337748344,0.9865771812080537,0.98,149,0.9487179487179487,0.9492945554753452
T1,individual,test,Ripe,0.9363057324840764,0.91875,0.9274447949526814,160,0.9487179487179487,0.9492945554753452
T1,individual,test,Rotten,0.9375,0.9433962264150944,0.9404388714733543,159,0.9487179487179487,0.9492945554753452
T1,individual,cv_out_of_fold,Unripe,0.9584664536741214,0.975609756097561,0.9669621273166801,615,0.9045599151643691,0.904977785484164
T1,individual,cv_out_of_fold,Ripe,0.8515742128935532,0.8958990536277602,0.8731744811683321,634,0.9045599151643691,0.904977785484164
T1,individual,cv_out_of_fold,Rotten,0.9072512647554806,0.8445839874411303,0.8747967479674796,637,0.9045599151643691,0.904977785484164
T2,individual,test,Unripe,0.6331360946745562,0.7181208053691275,0.6729559748427673,149,0.6132478632478633,0.6134543779556646
T2,individual,test,Ripe,0.5384615384615384,0.525,0.5316455696202531,160,0.6132478632478633,0.6134543779556646
T2,individual,test,Rotten,0.6713286713286714,0.6037735849056604,0.6357615894039735,159,0.6132478632478633,0.6134543779556646
T2,individual,cv_out_of_fold,Unripe,0.6134800550206327,0.7252032520325203,0.6646795827123696,615,0.623541887592789,0.6232147054745011
T2,individual,cv_out_of_fold,Ripe,0.565149136577708,0.5678233438485805,0.5664830841856806,634,0.623541887592789,0.6232147054745011
T2,individual,cv_out_of_fold,Rotten,0.7088122605363985,0.5808477237048666,0.6384814495254529,637,0.623541887592789,0.6232147054745011
T3,individual,test,Unripe,0.7469135802469136,0.8120805369127517,0.7781350482315113,149,0.7692307692307693,0.7679639905833167
T3,individual,test,Ripe,0.7412587412587412,0.6625,0.6996699669966997,160,0.7692307692307693,0.7679639905833167
T3,individual,test,Rotten,0.8159509202453987,0.8364779874213837,0.8260869565217391,159,0.7692307692307693,0.7679639905833167
T3,individual,cv_out_of_fold,Unripe,0.7580645161290323,0.8406504065040651,0.7972243639167309,615,0.7587486744432662,0.7576780236212524
T3,individual,cv_out_of_fold,Ripe,0.7272727272727273,0.668769716088328,0.6967953985209532,634,0.7587486744432662,0.7576780236212524
T3,individual,cv_out_of_fold,Rotten,0.789049919484702,0.7692307692307693,0.7790143084260731,637,0.7587486744432662,0.7576780236212524
E1,enhancement,test,Unripe,0.954248366013072,0.9798657718120806,0.9668874172185431,149,0.9529914529914529,0.9532622849818556
E1,enhancement,test,Ripe,0.9371069182389937,0.93125,0.9341692789968652,160,0.9529914529914529,0.9532622849818556
E1,enhancement,test,Rotten,0.967948717948718,0.949685534591195,0.9587301587301588,159,0.9529914529914529,0.9532622849818556
E1,enhancement,cv_out_of_fold,Unripe,0.9646302250803859,0.975609756097561,0.9700889248181084,615,0.9236479321314952,0.9240359678892638
E1,enhancement,cv_out_of_fold,Ripe,0.8772455089820359,0.9242902208201893,0.9001536098310292,634,0.9236479321314952,0.9240359678892638
E1,enhancement,cv_out_of_fold,Rotten,0.9328859060402684,0.8728414442700158,0.9018653690186537,637,0.9236479321314952,0.9240359678892638
E2,enhancement,test,Unripe,0.9668874172185431,0.9798657718120806,0.9733333333333334,149,0.9743589743589743,0.9744343882948617
E2,enhancement,test,Ripe,0.9570552147239264,0.975,0.9659442724458205,160,0.9743589743589743,0.9744343882948617
E2,enhancement,test,Rotten,1.0,0.9685534591194969,0.9840255591054313,159,0.9743589743589743,0.9744343882948617
E2,enhancement,cv_out_of_fold,Unripe,0.9634920634920635,0.9869918699186991,0.9751004016064257,615,0.9374337221633086,0.9376868013713685
E2,enhancement,cv_out_of_fold,Ripe,0.8933933933933934,0.9384858044164038,0.9153846153846154,634,0.9374337221633086,0.9376868013713685
E2,enhancement,cv_out_of_fold,Rotten,0.9593220338983051,0.8885400313971743,0.9225753871230644,637,0.9374337221633086,0.9376868013713685
E3,enhancement,test,Unripe,0.9607843137254902,0.9865771812080537,0.9735099337748344,149,0.9529914529914529,0.9531107717653802
E3,enhancement,test,Ripe,0.96,0.9,0.9290322580645162,160,0.9529914529914529,0.9531107717653802
E3,enhancement,test,Rotten,0.9393939393939394,0.9748427672955975,0.9567901234567902,159,0.9529914529914529,0.9531107717653802
E3,enhancement,cv_out_of_fold,Unripe,0.9511041009463722,0.9804878048780488,0.9655724579663731,615,0.9114528101802757,0.9116717584266465
E3,enhancement,cv_out_of_fold,Ripe,0.8728682170542635,0.88801261829653,0.8803752931978108,634,0.9114528101802757,0.9116717584266465
E3,enhancement,cv_out_of_fold,Rotten,0.9110378912685337,0.8681318681318682,0.8890675241157556,637,0.9114528101802757,0.9116717584266465
E1_feature_fusion__T1+T2,ablation,cv_out_of_fold,Unripe,0.946031746031746,0.9691056910569106,0.957429718875502,615,0.9050901378579003,0.9054072156683858
E1_feature_fusion__T1+T2,ablation,cv_out_of_fold,Ripe,0.8535127055306427,0.9006309148264984,0.876438986953185,634,0.9050901378579003,0.9054072156683858
E1_feature_fusion__T1+T2,ablation,cv_out_of_fold,Rotten,0.919931856899489,0.847723704866562,0.8823529411764706,637,0.9050901378579003,0.9054072156683858
E3_decision_fusion__T1+T2,ablation,cv_out_of_fold,Unripe,0.96,0.975609756097561,0.967741935483871,615,0.9045599151643691,0.9050141745657087
E3_decision_fusion__T1+T2,ablation,cv_out_of_fold,Ripe,0.8502994011976048,0.8958990536277602,0.8725038402457758,634,0.9045599151643691,0.9050141745657087
E3_decision_fusion__T1+T2,ablation,cv_out_of_fold,Rotten,0.9072512647554806,0.8445839874411303,0.8747967479674796,637,0.9045599151643691,0.9050141745657087
E1_feature_fusion__T1+T3,ablation,cv_out_of_fold,Unripe,0.9709677419354839,0.9788617886178862,0.9748987854251012,615,0.9326617179215271,0.9330785427195428
E1_feature_fusion__T1+T3,ablation,cv_out_of_fold,Ripe,0.8909090909090909,0.9274447949526814,0.9088098918083463,634,0.9326617179215271,0.9330785427195428
E1_feature_fusion__T1+T3,ablation,cv_out_of_fold,Rotten,0.9389438943894389,0.8932496075353218,0.915526950925181,637,0.9326617179215271,0.9330785427195428
E3_decision_fusion__T1+T3,ablation,cv_out_of_fold,Unripe,0.9569377990430622,0.975609756097561,0.966183574879227,615,0.9040296924708378,0.9044293383847997
E3_decision_fusion__T1+T3,ablation,cv_out_of_fold,Ripe,0.8513513513513513,0.8943217665615142,0.8723076923076923,634,0.9040296924708378,0.9044293383847997
E3_decision_fusion__T1+T3,ablation,cv_out_of_fold,Rotten,0.9072512647554806,0.8445839874411303,0.8747967479674796,637,0.9040296924708378,0.9044293383847997
E1_feature_fusion__T2+T3,ablation,cv_out_of_fold,Unripe,0.6890156918687589,0.7853658536585366,0.7340425531914894,615,0.7195121951219512,0.7191651073070436
E1_feature_fusion__T2+T3,ablation,cv_out_of_fold,Ripe,0.6750841750841751,0.6324921135646687,0.6530944625407166,634,0.7195121951219512,0.7191651073070436
E1_feature_fusion__T2+T3,ablation,cv_out_of_fold,Rotten,0.8003384094754653,0.7425431711145997,0.7703583061889251,637,0.7195121951219512,0.7191651073070436
E3_decision_fusion__T2+T3,ablation,cv_out_of_fold,Unripe,0.7533039647577092,0.8341463414634146,0.7916666666666666,615,0.7518557794273595,0.7490243258396904
E3_decision_fusion__T2+T3,ablation,cv_out_of_fold,Ripe,0.724907063197026,0.6151419558359621,0.6655290102389079,634,0.7518557794273595,0.7490243258396904
E3_decision_fusion__T2+T3,ablation,cv_out_of_fold,Rotten,0.7721139430284858,0.8084772370486656,0.7898773006134969,637,0.7518557794273595,0.7490243258396904
E2_healthy_only,ablation,cv_out_of_fold,Unripe,0.953968253968254,0.9772357723577236,0.9654618473895582,615,0.9194061505832449,0.9195733233098218
E2_healthy_only,ablation,cv_out_of_fold,Ripe,0.8724035608308606,0.9274447949526814,0.8990825688073395,634,0.9194061505832449,0.9195733233098218
