path,class_folder,source,variant,coverage,reason,substituted
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (204).jpg,UnripeApple,primary,0,0.08998325892857142,"GrabCut grew to only 1.44x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (207).jpg,UnripeApple,primary,0,0.0862563775510204,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (273).jpg,UnripeApple,primary,0,0.09018255739795919,"GrabCut grew to only 1.45x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (274).jpg,UnripeApple,primary,0,0.09271364795918367,"GrabCut grew to only 1.49x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (322).jpg,UnripeApple,primary,0,0.08065609056122448,"GrabCut grew to only 1.30x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (325).jpg,UnripeApple,primary,0,0.08882732780612244,"GrabCut grew to only 1.43x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (333).jpg,UnripeApple,primary,0,0.08143335459183673,"GrabCut grew to only 1.31x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (403).jpg,UnripeApple,primary,0,0.08346619897959184,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (404).jpg,UnripeApple,primary,0,0.0836654974489796,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (458).jpg,UnripeApple,primary,0,0.07774633290816327,"GrabCut grew to only 1.25x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (663).jpg,UnripeApple,primary,0,0.08567841198979592,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (664).jpg,UnripeApple,primary,0,0.08408402423469388,"GrabCut grew to only 1.35x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\RipeApple\RipeApple (281).jpg,RipeApple,primary,0,0.07507573341836735,"GrabCut grew to only 1.21x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\RipeApple\RipeApple (282).jpg,RipeApple,primary,0,0.07477678571428571,"GrabCut grew to only 1.20x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\RipeApple\RipeApple (376).jpg,RipeApple,primary,0,0.08579799107142858,"GrabCut grew to only 1.38x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\UnripeApple\UnripeApple (58).jpg,UnripeApple,primary,0,0.08374521683673469,"GrabCut grew to only 1.34x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
C:\Users\Khuan Zhi\ACADEMIC\FreshSight\data\primary\RipeApple\RipeApple (165).jpg,RipeApple,primary,0,0.0921157525510204,"GrabCut grew to only 1.48x its seeded foreground core (minimum 1.50x), so the image offers no fruit-like region to segment",False
